Unique Bond No,URN,Journal Date,Date of Purchase,Date of Expiry,Name of the Purchaser,Denominations,Issue Branch Code,Issue Teller,Status
OC6252,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6282,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6259,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6295,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6260,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6255,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6265,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6285,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6289,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6291,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6294,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
OC6287,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,10000000,1,5899230,Paid
TL11440,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,1000000,1,5899230,Paid
TL11437,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,1000000,1,5899230,Paid
TL11439,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,1000000,1,5899230,Paid
TL11445,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,1000000,1,5899230,Paid
TL11438,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,1000000,1,5899230,Paid
TL11432,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,1000000,1,5899230,Paid
TL11444,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,1000000,1,5899230,Paid
TL11443,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,1000000,1,5899230,Paid
TL11446,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,1000000,1,5899230,Paid
TL11442,00001201904120000001165,2019-04-12,2019-04-12,2019-04-26,ESSEL MINING AND INDS LTD,1000000,1,5899230,Paid
OC7045,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7041,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7025,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7051,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7035,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7059,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7037,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7033,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7053,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7061,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7029,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7049,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7057,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7043,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7039,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7047,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7027,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7055,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7031,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
OC7023,00300201904120000001168,2019-04-12,2019-04-12,2019-04-26,GRASIM INDUSTRIES LTD,10000000,300,4180496,Paid
TL3410,00509201904120000001161,2019-04-12,2019-04-12,2019-04-26,HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,1000000,509,7315678,Paid
TL3407,00509201904120000001161,2019-04-12,2019-04-12,2019-04-26,HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,1000000,509,7315678,Paid
TL3412,00509201904120000001161,2019-04-12,2019-04-12,2019-04-26,HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,1000000,509,7315678,Paid
TL11557,00001201904120000001179,2019-04-12,2019-04-12,2019-04-26,INNOCENT MERCHANDISE PVT LTD,1000000,1,5899230,Paid
TL11558,00001201904120000001179,2019-04-12,2019-04-12,2019-04-26,INNOCENT MERCHANDISE PVT LTD,1000000,1,5899230,Paid
OL1133,00001201904120000001179,2019-04-12,2019-04-12,2019-04-26,INNOCENT MERCHANDISE PVT LTD,100000,1,5899230,Paid
OL1127,00001201904120000001179,2019-04-12,2019-04-12,2019-04-26,INNOCENT MERCHANDISE PVT LTD,100000,1,5899230,Paid
OL1131,00001201904120000001179,2019-04-12,2019-04-12,2019-04-26,INNOCENT MERCHANDISE PVT LTD,100000,1,5899230,Paid
OL1130,00001201904120000001179,2019-04-12,2019-04-12,2019-04-26,INNOCENT MERCHANDISE PVT LTD,100000,1,5899230,Paid
OL1132,00001201904120000001179,2019-04-12,2019-04-12,2019-04-26,INNOCENT MERCHANDISE PVT LTD,100000,1,5899230,Paid
TL2344,00078201904120000001157,2019-04-12,2019-04-12,2019-04-26,KAMLANG SAW & VENEER MILLS PVT LTD,1000000,78,7601204,Paid
TL2341,00078201904120000001157,2019-04-12,2019-04-12,2019-04-26,KAMLANG SAW & VENEER MILLS PVT LTD,1000000,78,7601204,Paid
OC5485,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5465,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5497,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5510,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5484,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5522,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5490,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5496,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5456,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5469,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5495,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5503,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5486,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5482,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5502,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5500,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5483,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5479,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5473,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5518,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5476,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5501,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5489,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5487,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5499,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5452,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5480,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5494,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5516,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5520,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5506,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5511,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5507,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5505,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5512,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5504,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5508,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5493,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5514,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5478,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5498,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5524,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5488,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5477,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5492,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5491,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5513,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5461,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5509,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
OC5481,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid
TL11450,00001201904120000001176,2019-04-12,2019-04-12,2019-04-26,MERLIN RECREATION PVT LTD,1000000,1,5899230,Paid
TL11449,00001201904120000001176,2019-04-12,2019-04-12,2019-04-26,MERLIN RECREATION PVT LTD,1000000,1,5899230,Paid
OL1121,00001201904120000001176,2019-04-12,2019-04-12,2019-04-26,MERLIN RECREATION PVT LTD,100000,1,5899230,Paid
OL1120,00001201904120000001176,2019-04-12,2019-04-12,2019-04-26,MERLIN RECREATION PVT LTD,100000,1,5899230,Paid
OL1123,00001201904120000001176,2019-04-12,2019-04-12,2019-04-26,MERLIN RECREATION PVT LTD,100000,1,5899230,Paid
OL1116,00001201904120000001176,2019-04-12,2019-04-12,2019-04-26,MERLIN RECREATION PVT LTD,100000,1,5899230,Paid
OL1122,00001201904120000001176,2019-04-12,2019-04-12,2019-04-26,MERLIN RECREATION PVT LTD,100000,1,5899230,Paid
OC588,00813201904120000001162,2019-04-12,2019-04-12,2019-04-26,MSPL LTD,10000000,813,5144485,Paid
TL2357,00078201904120000001167,2019-04-12,2019-04-12,2019-04-26,MYRIAD DEVELOPERS,1000000,78,7601204,Paid
OL10036,00078201904120000001167,2019-04-12,2019-04-12,2019-04-26,MYRIAD DEVELOPERS,100000,78,7601204,Paid
OL10032,00078201904120000001167,2019-04-12,2019-04-12,2019-04-26,MYRIAD DEVELOPERS,100000,78,7601204,Paid
OL10038,00078201904120000001167,2019-04-12,2019-04-12,2019-04-26,MYRIAD DEVELOPERS,100000,78,7601204,Paid
OL10034,00078201904120000001167,2019-04-12,2019-04-12,2019-04-26,MYRIAD DEVELOPERS,100000,78,7601204,Paid
OL10030,00078201904120000001167,2019-04-12,2019-04-12,2019-04-26,MYRIAD DEVELOPERS,100000,78,7601204,Paid
OC7070,00300201904120000001175,2019-04-12,2019-04-12,2019-04-26,OMKAR VENTURES PVT LTD,10000000,300,4180496,Paid
OC7066,00300201904120000001175,2019-04-12,2019-04-12,2019-04-26,OMKAR VENTURES PVT LTD,10000000,300,4180496,Paid
OC7068,00300201904120000001175,2019-04-12,2019-04-12,2019-04-26,OMKAR VENTURES PVT LTD,10000000,300,4180496,Paid
OC7064,00300201904120000001175,2019-04-12,2019-04-12,2019-04-26,OMKAR VENTURES PVT LTD,10000000,300,4180496,Paid
OC2855,01355201904120000001169,2019-04-12,2019-04-12,2019-04-26,PATEL HIGHWAY MANAGEMENT PVT LTD,10000000,1355,5137969,Paid
OC7018,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid
OC7052,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid
OC6678,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid
OC6684,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid
OC7002,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid
OC7048,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid
OC7020,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid
OC7008,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid
OC6694,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid
OC7024,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid
OC7006,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid
OC7026,00300201904120000001158,2019-04-12,2019-04-12,2019-04-26,PHL FINIVEST PVT LTD,10000000,300,4180496,Paid
